time,flow,pressure,volume,pmus,ref
39758.99,-4.5,5.1,0,-0.0322265625,3809
39759,-4.3,5.1,0,-0.04833984375,3809
39759.01,-4.3,5,0,0,3809
39759.02,-4.2,5.1,0,-0.08056640625,3809
39759.03,-3.9,5.1,0,-0.0322265625,3809
39759.04,-3.9,5.1,0,-0.064453125,3809
39759.05,-3.8,5,0,-0.0322265625,3809
39759.06,-3.8,5,0,-0.08056640625,3809
39759.07,-3.8,5.1,0,-0.2255859375,3809
39759.08,-3.7,5,0,-0.37060546875,3809
39759.09,-3.5,4.9,0,-0.49951171875,3809
39759.1,-2.9,4.8,0,-0.62841796875,3809
39759.11,-2.5,4.7,0,-0.7734375,3809
39759.12,-2.1,4.8,0,-0.9345703125,3809
39759.13,-2.1,4.8,0,-0.9345703125,3809
39759.14,-1.6,4.7,0,-1.03125,3809
39759.15,-1.1,4.7,0,-1.14404296875,3809
39759.16,-0.4,4.6,0,-1.2568359375,3809
39759.17,0.4,4.6,0,-1.4501953125,3809
39759.18,0.6,4.5,0,-1.5791015625,3809
39759.19,1,4.5,0,-1.67578125,3809
39759.2,1.3,4.5,0,-1.85302734375,3809
39759.21,1.5,4.4,0,-1.94970703125,3809
39759.22,1.8,4.5,0,-2.0625,3809
39759.23,2.2,4.4,0,-2.2236328125,3809
39759.24,2.5,4.4,0.4,-2.33642578125,3809
39759.25,2.8,4.3,0.8,-2.44921875,3809
39759.26,3,4.2,1.4,-2.6103515625,3809
39759.27,3.3,4.2,2,-2.8037109375,3809
39759.28,3.8,4.1,2.6,-2.8359375,3809
39759.29,4.5,4.1,3.2,-2.96484375,3809
39759.3,5,4,4,-3.09375,3809
39759.31,5.4,4,5,-3.27099609375,3809
39759.32,5.4,4,5,-3.27099609375,3809
39759.33,5.7,4,6,-3.3515625,3809
39759.34,6.1,3.9,7,-3.5126953125,3809
39759.35,6.3,3.9,8,-3.609375,3809
39759.36,6.7,3.8,9.2,-3.75439453125,3809
39759.37,6.9,3.8,10.4,-3.931640625,3809
39759.38,7.2,3.8,11.6,-3.99609375,3809
39759.39,7.5,3.8,12.8,-4.125,3809
39759.4,7.6,3.7,14.2,-4.25390625,3809
39759.41,7.9,3.8,15.6,-4.4150390625,3809
39759.42,8.1,3.7,17,-4.49560546875,3809
39759.43,8.6,3.7,18.4,-4.640625,3809
39759.44,8.9,3.8,19.8,-4.75341796875,3809
39759.45,9.3,3.7,21.6,-4.88232421875,3809
39759.46,9.7,3.7,23.2,-5.02734375,3809
39759.47,10.2,3.7,25,-5.15625,3809
39759.48,10.5,3.8,26.6,-5.26904296875,3809
39759.49,10.5,3.8,26.6,-5.26904296875,3809
39759.5,10.7,3.8,28.6,-5.36572265625,3809
39759.51,11.1,3.8,30.4,-5.49462890625,3809
39759.52,11.7,3.8,32.4,-5.6396484375,3809
39759.53,12,3.8,34.6,-5.736328125,3809
39759.54,12.2,3.8,36.6,-5.84912109375,3809
39759.55,12.4,3.8,38.8,-5.9619140625,3809
39759.56,12.7,3.8,40.8,-6.10693359375,3809
39759.57,13,3.9,43.2,-6.20361328125,3809
39759.58,13.3,3.9,45.4,-6.3486328125,3809
39759.59,13.5,4,47.6,-6.4130859375,3809
39759.6,14,3.8,50.2,-6.52587890625,3809
39759.61,14.4,3.8,52.6,-6.703125,3809
39759.62,14.9,3.9,55.2,-6.7998046875,3809
39759.63,15.4,3.9,57.8,-6.9287109375,3809
39759.64,15.5,4,60.6,-7.025390625,3809
39759.65,15.7,4,63.2,-7.17041015625,3809
39759.66,15.8,4,65.8,-7.23486328125,3809
39759.67,16.1,4,68.8,-7.3798828125,3809
39759.68,16.1,4,68.8,-7.3798828125,3809
39759.69,16.4,4,71.4,-7.49267578125,3809
39759.7,16.7,4,74.4,-7.58935546875,3809
39759.71,17.2,3.9,77.4,-7.68603515625,3809
39759.72,17.5,3.9,80.4,-7.798828125,3809
39759.73,17.9,4,83.4,-7.8955078125,3809
39759.74,18.2,4,86.8,-8.0244140625,3809
39759.75,18.2,4,89.8,-8.10498046875,3809
39759.76,18.5,4.1,92.8,-8.25,3809
39759.77,18.5,4,96.2,-8.29833984375,3809
39759.78,18.8,4.1,99.4,-8.45947265625,3809
39759.79,18.8,4.1,102.8,-8.5078125,3809
39759.8,19,4,106,-8.74951171875,3809
39759.81,19.1,4.1,109.4,-8.7333984375,3809
39759.82,19.4,4.2,112.6,-8.830078125,3809
39759.83,19.8,4.2,116.2,-8.94287109375,3809
39759.84,19.8,4.2,116.2,-8.94287109375,3809
39759.85,20.1,4.2,119.6,-9.03955078125,3809
39759.86,20.3,4.4,123,-9.13623046875,3809
39759.87,20.6,4.4,126.6,-9.29736328125,3809
39759.88,20.6,4.2,130,-9.345703125,3809
39759.89,20.6,4.3,133.8,-9.4423828125,3809
39759.9,20.3,4.2,137.2,-9.52294921875,3809
39759.91,20.7,4.3,141,-9.65185546875,3809
39759.92,20.8,4.2,144.4,-9.71630859375,3809
39759.93,20.8,4.3,148.4,-9.84521484375,3809
39759.94,20.8,4.4,151.8,-9.87744140625,3809
39759.95,20.9,4.5,155.2,-9.990234375,3809
39759.96,21.2,4.2,159,-10.0869140625,3809
39759.97,21.4,4.4,162.6,-10.2158203125,3809
39759.98,21.4,4.4,166.6,-10.3125,3809
39759.99,21.6,4.4,170.2,-10.3447265625,3809
39760,21.5,4.4,174,-10.4736328125,3809
39760.01,21.3,4.4,177.6,-10.48974609375,3809
39760.02,21.2,4.4,181.2,-10.6025390625,3809
39760.03,20.9,4.2,185,-10.65087890625,3809
39760.04,21.2,4.3,188.6,-10.77978515625,3809
39760.05,21,4.4,192.4,-10.84423828125,3809
39760.06,21.3,4.4,196,-10.90869140625,3809
39760.07,21.3,4.4,196,-10.90869140625,3809
39760.08,21.2,4.5,199.8,-11.021484375,3809
39760.09,21.4,4.4,203.4,-11.0859375,3809
39760.1,21.4,4.4,207,-11.21484375,3809
39760.11,21.7,4.4,211,-11.23095703125,3809
39760.12,21.8,4.4,214.6,-11.3115234375,3809
39760.13,21.6,4.5,218.6,-11.3759765625,3809
39760.14,21.2,4.5,222,-11.39208984375,3809
39760.15,21.1,4.5,226,-11.52099609375,3809
39760.16,21.1,4.4,229.4,-11.6015625,3809
39760.17,21.3,4.5,233,-11.666015625,3809
39760.18,21.1,4.5,237,-11.74658203125,3809
39760.19,21.5,4.5,240.4,-11.794921875,3809
39760.2,21.6,4.5,244.4,-11.8916015625,3809
39760.21,21.7,4.5,248,-11.93994140625,3809
39760.22,21.7,4.5,252,-11.98828125,3809
39760.23,22,4.5,255.6,-12.06884765625,3809
39760.24,22.2,4.5,259.6,-12.1494140625,3809
39760.25,22.2,4.7,263.4,-12.19775390625,3809
39760.26,22.2,4.7,263.4,-12.19775390625,3809
39760.27,21.6,4.5,267,-12.2783203125,3809
39760.28,21.3,4.7,271,-12.2783203125,3809
39760.29,21.5,4.6,274.6,-12.3427734375,3809
39760.3,21.5,4.6,278.4,-12.4072265625,3809
39760.31,21.6,4.6,282.2,-12.50390625,3809
39760.32,21.1,4.6,285.6,-12.5361328125,3809
39760.33,21.2,4.6,289.6,-12.61669921875,3809
39760.34,21.2,4.7,293,-12.71337890625,3809
39760.35,21.5,4.7,297,-12.697265625,3809
39760.36,21.2,4.7,300.6,-12.76171875,3809
39760.37,21,4.7,304.4,-12.81005859375,3809
39760.38,20.9,4.7,308,-12.81005859375,3809
39760.39,20.6,4.7,311.5,-12.890625,3809
39760.4,20.9,4.7,315.3,-12.9228515625,3809
39760.41,20.8,4.7,318.7,-12.97119140625,3809
39760.42,20.9,4.7,322.5,-13.01953125,3809
39760.43,20.6,4.7,326.1,-13.083984375,3809
39760.44,20.3,4.8,3.1,-13.10009765625,3809
39760.45,20.4,4.9,6.5,-13.13232421875,3809
39760.46,20.4,4.9,6.5,-13.13232421875,3809
39760.47,20.7,5.5,9.9,-13.16455078125,3809
39760.48,21.5,6,13.7,-13.212890625,3809
39760.49,22.7,6.8,17.3,-13.22900390625,3809
39760.5,24.6,8,21.7,-13.2451171875,3809
39760.51,26.8,9.2,25.9,-13.27734375,3809
39760.52,30.1,10.4,31.1,-13.3095703125,3809
39760.53,32.3,11.9,36.5,-13.3740234375,3809
39760.54,36.1,13.4,42.7,-13.48681640625,3809
39760.55,39.9,14.7,49.1,-13.39013671875,3809
39760.56,43.8,16,55.9,-13.470703125,3809
39760.57,46.8,17,64.3,-13.45458984375,3809
39760.58,49.9,17.5,72.3,-13.470703125,3809
39760.59,51.4,18.2,81.7,-13.51904296875,3809
39760.6,53.2,18.5,90.3,-13.55126953125,3809
39760.61,54.5,18.7,100.3,-13.5029296875,3809
39760.62,55.7,18.8,109.5,-13.51904296875,3809
39760.63,55.4,19,118.7,-13.599609375,3809
39760.64,56.2,19.1,128.9,-13.64794921875,3809
39760.65,55.7,19,138.3,-13.6318359375,3809
39760.66,56.5,19,148.5,-13.6318359375,3809
39760.67,56.1,19.1,157.9,-13.64794921875,3809
39760.68,56.1,19.1,157.9,-13.64794921875,3809
39760.69,56.2,19.5,168.3,-13.6640625,3809
39760.7,55.8,19.3,177.5,-13.6640625,3809
39760.71,55.8,19.3,186.9,-13.6640625,3809
39760.72,55.4,19.3,197.1,-13.77685546875,3809
39760.73,54.9,19.3,206.3,-13.728515625,3809
39760.74,53.7,19.2,216.3,-13.6962890625,3809
39760.75,53,19.3,225.1,-13.6640625,3809
39760.76,52.4,19.3,233.9,-13.728515625,3809
39760.77,51.6,19.2,243.3,-13.6962890625,3809
39760.78,51.8,19.2,252.1,-13.71240234375,3809
39760.79,51.6,19.4,261.5,-13.6318359375,3809
39760.8,51.4,19.3,270.1,-13.64794921875,3809
39760.81,50.8,19.3,279.5,-13.6318359375,3809
39760.82,50.4,19.5,287.9,-13.61572265625,3809
39760.83,50.7,19.4,296.3,-13.5673828125,3809
39760.84,50.2,19.5,305.5,-13.51904296875,3809
39760.85,49.3,19.3,313.9,-13.45458984375,3809
39760.86,49.3,19.3,313.9,-13.45458984375,3809
39760.87,48,19.3,322.7,-13.40625,3809
39760.88,47.1,19.4,330.7,-13.341796875,3809
39760.89,46.7,19.6,339.3,-13.29345703125,3809
39760.9,46.2,19.6,347.1,-13.1806640625,3809
39760.91,45.8,19.6,355.5,-13.03564453125,3809
39760.92,45.4,19.6,363.1,-13.00341796875,3809
39760.93,45,19.7,371.3,-12.90673828125,3809
39760.94,43.9,19.7,378.7,-12.74560546875,3809
39760.95,43.9,19.8,386.1,-12.68115234375,3809
39760.96,43.8,19.6,394.1,-12.568359375,3809
39760.97,43.3,19.9,401.5,-12.42333984375,3809
39760.98,41.7,19.6,409.3,-12.24609375,3809
39760.99,40.7,19.7,416.1,-12.1171875,3809
39761,40.4,19.8,423.5,-12.0205078125,3809
39761.01,39.2,19.9,430.1,-11.8271484375,3809
39761.02,38.1,19.9,437.3,-11.68212890625,3809
39761.03,38.1,19.9,437.3,-11.68212890625,3809
39761.04,37.1,19.9,443.5,-11.55322265625,3809
39761.05,36.9,20.1,450.3,-11.34375,3809
39761.06,35.9,20.1,456.3,-11.19873046875,3809
39761.07,35.4,20.1,462.9,-10.9892578125,3809
39761.08,34.2,20.1,468.7,-10.828125,3809
39761.09,33.5,20,474.3,-10.6025390625,3809
39761.1,31.8,20.3,480.3,-10.4091796875,3809
39761.11,30.7,20,485.5,-10.18359375,3809
39761.12,29.9,20.2,491.1,-10.03857421875,3809
39761.13,29.6,20.3,496.1,-9.81298828125,3809
39761.14,29.2,20.2,501.5,-9.5712890625,3809
39761.15,28.3,17.6,502.3,-9.345703125,3809
39761.16,26.9,11.8,502.3,-9.087890625,3809
39761.17,22,9.6,502.3,-8.91064453125,3809
39761.18,12.5,7.1,502.2,-8.65283203125,3809
39761.19,-8,4.9,502,-8.42724609375,3809
39761.2,-16.2,4.9,499.6,-8.2177734375,3809
39761.21,-17.1,5.3,496.6,-7.9599609375,3809
39761.22,-20.6,6.5,493.6,-7.68603515625,3809
39761.23,-24,7.5,489.4,-7.3798828125,3809
39761.24,-26.6,8,485.2,-7.10595703125,3809
39761.25,-28.2,8.2,480.2,-6.88037109375,3809
39761.26,-28.2,8.2,480.2,-6.88037109375,3809
39761.27,-29.2,8,475.4,-6.6064453125,3809
39761.28,-30.1,7.7,470.4,-6.33251953125,3809
39761.29,-30.7,7.4,464.8,-6.07470703125,3809
39761.3,-31.2,7.2,459.6,-5.80078125,3809
39761.31,-31.5,7.1,454,-5.5107421875,3809
39761.32,-32.2,7,448.6,-5.220703125,3809
39761.33,-32.3,7.1,442.8,-4.94677734375,3809
39761.34,-33.1,7.2,437.2,-4.65673828125,3809
39761.35,-34.1,7.3,431.6,-4.33447265625,3809
39761.36,-34.4,7.4,425.4,-4.0927734375,3809
39761.37,-35.1,7.4,419.6,-3.78662109375,3809
39761.38,-35.2,7.4,413.2,-3.4482421875,3809
39761.39,-35.6,7.4,407.2,-3.17431640625,3809
39761.4,-35.8,7.2,401.2,-2.88427734375,3809
39761.41,-36.2,7.2,394.6,-2.578125,3809
39761.42,-36.7,7.2,388.6,-2.27197265625,3809
39761.43,-37.2,7.2,381.8,-1.93359375,3809
39761.44,-37.9,7.2,375.6,-1.67578125,3809
39761.45,-38.4,7.3,368.6,-1.353515625,3809
39761.46,-38.4,7.3,368.6,-1.353515625,3809
39761.47,-38.7,7.4,362.2,-1.04736328125,3809
39761.48,-39.1,7.4,355,-0.72509765625,3809
39761.49,-39.5,7.3,348.6,-0.43505859375,3809
39761.5,-40.3,7.3,341.8,-0.12890625,3809
39761.51,-40.6,7.3,334.4,0,3809
39761.52,-40.9,7.2,327.6,-0.01611328125,3809
39761.53,-40.7,7.2,320.2,0,3809
39761.54,-40.9,7.2,313.4,0,3809
39761.55,-41,7.1,305.8,0,3809
39761.56,-41.3,6.9,299,-0.01611328125,3809
39761.57,-40.8,6.8,292.2,-0.01611328125,3809
39761.58,-40.5,6.8,284.6,0,3809
39761.59,-40.1,6.8,278,0,3809
39761.6,-40.6,6.6,270.6,-0.01611328125,3809
39761.61,-40.5,6.5,263.8,-0.01611328125,3809
39761.62,-40.6,6.5,256.4,-0.0322265625,3809
39761.63,-40.2,6.4,249.6,-0.0322265625,3809
39761.64,-40,6.4,242.2,0,3809
39761.65,-39.7,6.3,235.6,-0.01611328125,3809
39761.66,-39.7,6.3,235.6,-0.01611328125,3809
39761.67,-39.5,6.2,229,-0.0322265625,3809
39761.68,-39.3,6.1,221.8,0,3809
39761.69,-39,6.1,215.2,-0.0322265625,3809
39761.7,-38.8,6.1,208.2,0,3809
39761.71,-38.6,6,201.8,-0.01611328125,3809
39761.72,-38.3,5.9,195.4,0,3809
39761.73,-38.1,5.9,188.2,-0.0322265625,3809
39761.74,-38,6,182,0,3809
39761.75,-37.6,5.8,175,-0.04833984375,3809
39761.76,-38,5.8,168.8,-0.01611328125,3809
39761.77,-36.8,5.8,161.8,0,3809
39761.78,-36.5,5.8,155.8,-0.064453125,3809
39761.79,-35.9,5.7,149.2,-0.0322265625,3809
39761.8,-35.7,5.7,143.2,-0.0322265625,3809
39761.81,-35.7,5.7,137.2,0,3809
39761.82,-35.3,5.7,130.8,-0.01611328125,3809
39761.83,-35.2,5.7,124.8,0,3809
39761.84,-35,5.7,118.4,0,3809
39761.85,-34.5,5.7,112.6,-0.01611328125,3809
39761.86,-34.1,5.5,106.4,0,3809
39761.87,-33.5,5.6,100.6,-0.0322265625,3809
39761.88,-33.5,5.6,94.6,-0.01611328125,3809
39761.89,-33.5,5.6,94.6,-0.01611328125,3809
39761.9,-33.5,5.5,89,-0.04833984375,3809
39761.91,-33.3,5.5,82.8,-0.0322265625,3809
39761.92,-32.5,5.6,77.4,-0.0322265625,3809
39761.93,-31.9,5.6,72,0,3809
39761.94,-31.7,5.5,66.2,-0.0322265625,3809
39761.95,-31.2,5.5,60.4,-0.0322265625,3809
39761.96,-30.8,5.5,55.2,0,3809
39761.97,-30.5,5.5,50.2,-0.0322265625,3809
39761.98,-30,5.4,44.6,-0.01611328125,3809
39761.99,-30,5.5,39.6,-0.04833984375,3809
39762,-29.4,5.4,34.2,-0.0966796875,3809
39762.01,-29.6,5.4,29.2,-0.0322265625,3809
39762.02,-29.2,5.4,23.8,0,3809
39762.03,-28.8,5.4,19,-0.0322265625,3809
39762.04,-28.2,5.4,14.2,-0.0322265625,3809
39762.05,-28,5.3,9.2,-0.04833984375,3809
39762.06,-27.7,5.4,4.4,-0.0322265625,3809
39762.07,-27.5,5.3,0,-0.0322265625,3809
39762.08,-27,5.3,0,-0.01611328125,3809
39762.09,-27,5.4,0,-0.04833984375,3809
39762.1,-26.7,5.3,0,0,3809
39762.11,-26.7,5.3,0,0,3809
39762.12,-26.5,5.4,0,-0.0322265625,3809
39762.13,-26.1,5.4,0,-0.01611328125,3809
39762.14,-26,5.4,0,-0.0322265625,3809
39762.15,-25.4,5.3,0,0,3809
39762.16,-24.8,5.3,0,-0.0322265625,3809
39762.17,-24.7,5.3,0,-0.01611328125,3809
39762.18,-24.5,5.2,0,0,3809
39762.19,-24.5,5.2,0,-0.01611328125,3809
39762.2,-24,5.2,0,0,3809
39762.21,-23.8,5.3,0,0,3809
39762.22,-23.5,5.2,0,0,3809
39762.23,-23.2,5.1,0,-0.0322265625,3809
39762.24,-23,5.2,0,-0.01611328125,3809
39762.25,-22.8,5.2,0,-0.0322265625,3809
39762.26,-22.8,5.2,0,-0.01611328125,3809
39762.27,-22.2,5.2,0,-0.01611328125,3809
39762.28,-22,5.2,0,0,3809
39762.29,-21.4,5.2,0,-0.01611328125,3809
39762.3,-21.5,5.1,0,0,3809
39762.31,-21.1,5.1,0,-0.01611328125,3809
39762.32,-21.1,5.1,0,-0.01611328125,3809
39762.33,-20.9,5.1,0,0,3809
39762.34,-20.4,5.2,0,0,3809
39762.35,-20.1,5.2,0,-0.064453125,3809
39762.36,-19.9,5.2,0,0,3809
39762.37,-19.8,5.1,0,-0.01611328125,3809
39762.38,-19.6,5.1,0,0,3809
39762.39,-19.3,5.1,0,0,3809
39762.4,-18.9,5.1,0,0,3809
39762.41,-18.8,5.1,0,-0.04833984375,3809
39762.42,-18.4,5.2,0,-0.04833984375,3809
39762.43,-18.5,5.2,0,-0.0322265625,3809
39762.44,-18.3,5.1,0,-0.0322265625,3809
39762.45,-18,5.1,0,0,3809
39762.46,-17.8,5.1,0,0,3809
39762.47,-17.2,5.1,0,-0.01611328125,3809
39762.48,-17.3,5.1,0,0,3809
39762.49,-17.3,5.1,0,-0.0322265625,3809
39762.5,-17.3,5.1,0,-0.0322265625,3809
39762.51,-17.1,5.1,0,0,3809
39762.52,-16.8,5,0,-0.01611328125,3809
39762.53,-16.4,5.1,0,0,3809
39762.54,-16.4,5.1,0,-0.01611328125,3809
39762.55,-15.8,5.1,0,-0.0322265625,3809
39762.56,-15.8,5.1,0,-0.01611328125,3809
39762.57,-15.5,5.1,0,0,3809
39762.58,-15.5,5.1,0,-0.0322265625,3809
39762.59,-15,5.1,0,-0.01611328125,3809
39762.6,-15,5.1,0,0,3809
39762.61,-14.7,5.1,0,-0.01611328125,3809
39762.62,-14.5,5.1,0,0,3809
39762.63,-14.1,5,0,-0.01611328125,3809
39762.64,-14.1,5.1,0,-0.0322265625,3809
39762.65,-13.8,5.1,0,-0.0322265625,3809
39762.66,-13.8,5.1,0,-0.01611328125,3809
39762.67,-13.6,5.1,0,0,3809
39762.68,-13.6,5.1,0,-0.04833984375,3809
39762.69,-13.6,5.1,0,-0.04833984375,3809
39762.7,-13.1,5.1,0,0,3809
39762.71,-12.7,5,0,-0.0322265625,3809
39762.72,-12.7,5,0,-0.04833984375,3809
39762.73,-12.9,5,0,-0.01611328125,3809
39762.74,-12.8,5,0,-0.08056640625,3809
39762.75,-12.3,5,0,-0.0322265625,3809
39762.76,-11.8,5.1,0,-0.01611328125,3809
39762.77,-11.8,5,0,0,3809
39762.78,-11.7,5.1,0,-0.01611328125,3809
39762.79,-11.6,5.1,0,0,3809
39762.8,-11.5,5,0,-0.0322265625,3809
39762.81,-11.3,5,0,0,3809
39762.82,-11.1,5,0,-0.0322265625,3809
39762.83,-10.7,5,0,-0.0322265625,3809
39762.84,-10.6,5.1,0,0,3809
39762.85,-10.6,5,0,0,3809
39762.86,-10.3,5,0,-0.01611328125,3809
39762.87,-10.2,5.1,0,-0.01611328125,3809
39762.88,-10.2,5,0,-0.01611328125,3809
39762.89,-9.9,5,0,-0.01611328125,3809
39762.9,-9.9,5.1,0,0,3809
39762.91,-9.9,5.1,0,0,3809
39762.92,-9.5,5,0,0,3809
39762.93,-9.5,5,0,-0.0322265625,3809
39762.94,-9.5,5.1,0,-0.01611328125,3809
39762.95,-9.3,5,0,-0.0322265625,3809
39762.96,-9.2,5,0,-0.0322265625,3809
39762.97,-8.8,5.1,0,-0.0322265625,3809
39762.98,-8.9,5,0,0,3809
39762.99,-8.8,5,0,-0.01611328125,3809
39763,-8.6,5,0,-0.01611328125,3809
39763.01,-8.3,5,0,0,3809
39763.02,-8.2,5,0,-0.04833984375,3809
39763.03,-8.1,5.1,0,0,3809
39763.04,-7.6,5.1,0,-0.0322265625,3809
39763.05,-7.5,5,0,-0.0322265625,3809
39763.06,-7.4,5.1,0,-0.01611328125,3809
39763.07,-7.2,5,0,-0.01611328125,3809
39763.08,-7.2,5.1,0,-0.0322265625,3809
39763.09,-7.1,5,0,-0.0322265625,3809
39763.1,-6.9,5,0,-0.01611328125,3809
39763.11,-6.9,5,0,-0.01611328125,3809
39763.12,-6.8,5.1,0,-0.01611328125,3809
39763.13,-6.7,5,0,0,3809
39763.14,-6.4,5,0,-0.04833984375,3809
39763.15,-6.2,5,0,-0.0322265625,3809
39763.16,-6.1,5,0,-0.0322265625,3809
39763.17,-6.1,5,0,-0.01611328125,3809
39763.18,-5.9,5,0,0,3809
39763.19,-5.9,5,0,-0.01611328125,3809
39763.2,-5.7,5,0,0,3809
39763.21,-5.8,5,0,-0.0322265625,3809
39763.22,-5.7,4.9,0,0,3809
39763.23,-5.6,4.9,0,0,3809
39763.24,-5.4,5,0,-0.01611328125,3809
39763.25,-5.3,4.9,0,-0.01611328125,3809
39763.26,-5.2,5,0,-0.0322265625,3809
39763.27,-5.2,5,0,0,3809
39763.28,-5,5,0,-0.0322265625,3809
39763.29,-4.9,5,0,0,3809
39763.3,-4.9,5,0,0,3809
39763.31,-4.8,5,0,0,3809
39763.32,-4.7,4.9,0,-0.04833984375,3809
39763.33,-4.6,5,0,-0.01611328125,3809
39763.34,-4.5,5,0,-0.01611328125,3809
39763.35,-4.4,5,0,-0.0322265625,3809
39763.36,-4.4,5,0,-0.01611328125,3809
39763.37,-4.4,5,0,-0.0322265625,3809
39763.38,-4.3,5,0,-0.01611328125,3809
39763.39,-4.3,5,0,-0.01611328125,3809
39763.4,-4.1,5,0,-0.01611328125,3809
39763.41,-4.2,5,0,-0.01611328125,3809
39763.42,-3.9,5,0,0,3809
39763.43,-4,5,0,-0.04833984375,3809
39763.44,-3.9,5,0,0,3809
39763.45,-3.9,5,0,0,3809
39763.46,-3.9,5,0,0,3809
39763.47,-3.9,5,0,-0.0322265625,3809
39763.48,-3.8,5,0,0,3809
39763.49,-3.8,5,0,0,3809
39763.5,-3.7,4.9,0,-0.04833984375,3809
39763.51,-3.6,5,0,-0.0322265625,3809
39763.52,-3.4,4.9,0,-0.0322265625,3809
39763.53,-3.4,5,0,-0.0322265625,3809
39763.54,-3.3,5,0,0,3809
39763.55,-3.4,5,0,-0.04833984375,3809
39763.56,-3.2,5,0,-0.0322265625,3809
39763.57,-3.2,5,0,-0.04833984375,3809
39763.58,-3.1,5,0,0,3809
39763.59,-3.1,5,0,0,3809
39763.6,-3,5,0,-0.0322265625,3809
39763.61,-3.1,5,0,0,3809
39763.62,-2.9,5,0,0,3809
39763.63,-3,5,0,0,3809
39763.64,-3,5,0,0,3809
39763.65,-2.8,5,0,-0.01611328125,3809
39763.66,-2.7,5,0,0,3809
39763.67,-2.7,5,0,0,3809
39763.68,-2.7,5,0,-0.04833984375,3809
39763.69,-2.6,5,0,0,3809
39763.7,-2.5,5,0,0,3809
39763.71,-2.5,5,0,-0.01611328125,3809
39763.72,-2.5,5,0,-0.01611328125,3809
39763.73,-2.3,5,0,-0.0322265625,3809
39763.74,-2.3,5,0,0,3809
39763.75,-2.2,5,0,0,3809
39763.76,-2.2,5,0,0,3809
39763.77,-2.2,5,0,-0.0322265625,3809
39763.78,-2.1,5.1,0,-0.01611328125,3809
39763.79,-2.1,5,0,-0.01611328125,3809
39763.8,-2,5.1,0,-0.01611328125,3809
39763.81,-2,5.1,0,0,3809
39763.82,-1.9,5.1,0,-0.0322265625,3809
39763.83,-1.9,5.1,0,-0.0322265625,3809
39763.84,-1.9,5,0,0,3809
39763.85,-1.9,5.1,0,-0.01611328125,3809
39763.86,-1.9,5,0,-0.0322265625,3809
39763.87,-1.9,5.1,0,-0.01611328125,3809
39763.88,-1.8,5.1,0,0,3809
39763.89,-1.8,5,0,0,3809
39763.9,-1.6,5,0,-0.01611328125,3809
39763.91,-1.6,5,0,-0.0322265625,3809
39763.92,-1.5,5,0,0,3809
39763.93,-1.5,5,0,0,3809
39763.94,-1.5,5,0,-0.0322265625,3809
39763.95,-1.5,5,0,-0.0322265625,3809
39763.96,-1.5,5.1,0,-0.01611328125,3809
39763.97,-1.4,5,0,0,3809
39763.98,-1.2,5.1,0,-0.01611328125,3809
39763.99,-1.3,5.1,0,-0.01611328125,3809
39764,-1.1,5,0,-0.01611328125,3809
39764.01,-1.2,5.1,0,-0.01611328125,3809
39764.02,-1,5.1,0,-0.01611328125,3809
39764.03,-1,5,0,-0.064453125,3809
39764.04,-1,5.1,0,0,3809
39764.05,-0.8,5.1,0,-0.01611328125,3809
39764.06,-1,5,0,-0.01611328125,3809
39764.07,-0.8,5.1,0,-0.01611328125,3809
39764.08,-0.8,5.1,0,0,3809
39764.09,-0.7,5,0,-0.01611328125,3809
39764.1,-0.6,5,0,-0.0322265625,3809
39764.11,-0.6,5.1,0,0,3809
39764.12,-0.6,5.1,0,-0.01611328125,3809
39764.13,-0.6,5.1,0,-0.01611328125,3809
39764.14,-0.5,5.1,0,-0.11279296875,3809
39764.15,-0.7,5.1,0,-0.2578125,3809
39764.16,-0.3,5.1,0,-0.38671875,3809
39764.17,0.2,5,0,-0.53173828125,3809
39764.18,0.8,5,0,-0.66064453125,3809
39764.19,1.3,4.9,0,-0.75732421875,3809
39764.2,1.5,4.8,0,-0.9345703125,3809
39764.21,1.6,4.8,0,-1.07958984375,3809
39764.22,1.8,4.8,0,-1.1923828125,3809
39764.23,1.8,4.8,0,-1.3212890625,3809
39764.24,2.1,4.8,0,-1.46630859375,3809
39764.25,2.4,4.8,0,-1.62744140625,3809
39764.26,2.7,4.7,0,-1.7080078125,3809
39764.27,3,4.7,0,-1.8369140625,3809
39764.28,3.4,4.6,0,-2.0302734375,3809
39764.29,3.4,4.6,0,-2.0302734375,3809
39764.3,3.9,4.5,0,-2.1591796875,3809
39764.31,4.4,4.4,0,-2.2236328125,3809
39764.32,4.8,4.2,0,-2.36865234375,3809
39764.33,5.1,4.1,0,-2.513671875,3809
39764.34,5.2,4.1,0,-2.642578125,3809
39764.35,5.3,4,0,-2.771484375,3809
39764.36,5.5,4,0,-2.900390625,3809
39764.37,5.8,4,0,-3.029296875,3809
39764.38,6,3.9,0,-3.1904296875,3809
39764.39,6.2,3.8,0,-3.27099609375,3809
39764.4,6.6,3.8,0,-3.416015625,3809
39764.41,7,3.8,0,-3.52880859375,3809
39764.42,7.2,3.8,0,-3.68994140625,3809
39764.43,7.4,3.7,0,-3.81884765625,3809
39764.44,7.5,3.7,0.1,-3.931640625,3809
39764.45,7.8,3.7,1.1,-4.060546875,3809
